query,token,pos
경주 여행,조금,NNG
경주 여행,아침,NNG
경주 여행,불국사,NNG
경주 여행,방문,NNG
경주 여행,고요,NNG
경주 여행,분위기,NNG
경주 여행,산책,NNG
경주 여행,최적,NNG
경주 여행,위치,NNG
경주 여행,스테이,NNG
경주 여행,알라딘,NNP
경주 여행,자평,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,개정,NNG
경주 여행,증보판,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,시리즈,NNG
경주 여행,황윤,NNG
경주 여행,지음,NNG
경주 여행,고양이,NNG
경주 여행,평점,NNG
경주 여행,역사,NNG
경주 여행,사랑,NNG
경주 여행,사람,NNG
경주 여행,사랑,NNG
경주 여행,평화,NNG
경주 여행,강릉,NNP
경주 여행,서나,NNG
경주 여행,강릉,NNP
경주 여행,한옥,NNG
경주 여행,숙소,NNG
경주 여행,소설,NNG
경주 여행,첨성,NNG
경주 여행,대점,NNG
경주 여행,비향,NNP
경주 여행,한옥,NNG
경주 여행,숙소,NNG
경주 여행,이름,NNG
경주 여행,소설,NNG
경주 여행,첨성,NNG
경주 여행,대점,NNG
경주 여행,첨성대,NNG
경주 여행,첨성,NNG
경주 여행,대점,NNG
경주 여행,한옥,NNG
경주 여행,소설,NNG
경주 여행,인기,NNG
경주 여행,주말,NNG
경주 여행,알라딘,NNP
경주 여행,황금,NNG
경주 여행,호두,NNG
경주 여행,무웅,NNP
경주 여행,코스,NNG
경주 여행,느낌,NNG
경주 여행,느낌,NNG
경주 여행,신라,NNP
경주 여행,아이,NNG
경주 여행,티비,NNG
경주 여행,이동은,NNP
경주 여행,기차,NNG
경주 여행,자전거,NNG
경주 여행,도보,NNG
경주 여행,버스,NNG
경주 여행,투어,NNG
경주 여행,가능,NNG
경주 여행,코스,NNG
경주 여행,시내,NNG
경주 여행,천마총,NNG
경주 여행,왕릉,NNG
경주 여행,첨성대,NNG
경주 여행,계림,NNG
경주 여행,포석정,NNP
경주 여행,안압지,NNP
경주 여행,알라딘,NNP
경주 여행,자평,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,개정,NNG
경주 여행,증보판,NNG
경주 여행,일상,NNG
경주 여행,고고학,NNG
경주 여행,시리즈,NNG
경주 여행,황윤,NNG
경주 여행,지음,NNG
